UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FANTASY_PTS
Woody Marks HOU,,,,,,72.3,259.1,1.8,0.1,56.6,RB,2025-08-14 15:04:27,20.0,146.4,1.0,,,,,,,,,,,,,,57.150000000000006
Jalen Nailor MIN,,,,,,1.8,4.1,0.0,0.4,56.9,WR,2025-08-14 15:04:30,27.9,367.8,3.4,,,,,,,,,,,,,,56.79
Justice Hill BAL,,,,,,41.8,185.1,1.1,0.4,56.6,RB,2025-08-14 15:04:27,27.3,222.3,1.7,,,,,,,,,,,,,,56.74000000000001
Andrei Iosivas CIN,,,,,,0.0,0.0,0.0,0.1,56.6,WR,2025-08-14 15:04:30,30.4,363.5,3.4,,,,,,,,,,,,,,56.55
Marquez Valdes-Scantling SEA,,,,,,2.6,10.0,0.1,0.0,55.7,WR,2025-08-14 15:04:30,24.3,402.9,2.4,,,,,,,,,,,,,,56.29
Jalen Coker CAR,,,,,,0.0,2.3,0.0,0.1,55.5,WR,2025-08-14 15:04:30,32.9,428.7,2.1,,,,,,,,,,,,,,55.5
Jordan Whittington LAR,,,,,,1.1,13.9,0.0,0.1,55.6,WR,2025-08-14 15:04:30,34.1,397.8,2.4,,,,,,,,,,,,,,55.37
Tory Horton SEA,,,,,,1.0,8.7,0.0,0.7,54.4,WR,2025-08-14 15:04:30,33.5,426.7,2.1,,,,,,,,,,,,,,54.74
Kenny Pickett CLE,159.8,100.2,956.8,4.2,3.5,14.1,44.0,0.7,1.0,58.1,QB,2025-08-14 15:04:24,,,,,,,,,,,,,,,,,54.672
Keaton Mitchell BAL,,,,,,75.6,330.0,1.7,0.0,54.1,RB,2025-08-14 15:04:27,8.6,83.4,0.5,,,,,,,,,,,,,,54.540000000000006
Samaje Perine CIN,,,,,,51.2,200.4,1.5,0.7,53.5,RB,2025-08-14 15:04:27,21.2,195.7,1.1,,,,,,,,,,,,,,53.81
Dont'e Thornton Jr. LV,,,,,,0.0,3.0,0.0,0.1,53.0,WR,2025-08-14 15:04:30,29.1,393.3,2.3,,,,,,,,,,,,,,53.23
Pat Bryant DEN,,,,,,0.0,0.0,0.0,0.1,52.7,WR,2025-08-14 15:04:30,30.7,375.6,2.6,,,,,,,,,,,,,,52.96
Jaxson Dart NYG,123.6,77.6,849.1,4.3,3.7,14.8,71.1,0.7,1.1,56.6,QB,2025-08-14 15:04:24,,,,,,,,,,,,,,,,,52.873999999999995
Dontayvion Wicks GB,,,,,,0.0,1.3,0.0,0.0,52.8,WR,2025-08-14 15:04:30,27.5,346.4,3.0,,,,,,,,,,,,,,52.77
Allen Lazard NYJ,,,,,,0.0,0.0,0.0,0.1,52.2,WR,2025-08-14 15:04:30,28.7,368.4,2.6,,,,,,,,,,,,,,52.239999999999995
Ty Johnson BUF,,,,,,45.7,208.1,1.0,0.1,51.6,RB,2025-08-14 15:04:27,15.2,165.1,1.5,,,,,,,,,,,,,,52.120000000000005
Will Dissly LAC,,,,,,,,,0.0,52.0,TE,2025-08-14 15:04:33,37.8,370.5,2.5,,,,,,,,,,,,,,52.050000000000004
Adonai Mitchell IND,,,,,,2.5,11.5,0.1,0.2,51.9,WR,2025-08-14 15:04:30,26.6,368.6,2.3,,,,,,,,,,,,,,52.010000000000005
