overall_pick,player_name,position,team_name,pro_team
1,Saquon Barkley PHI,RB,Team 1,PHI
2,CeeDee Lamb DAL,WR,Team 2,DAL
3,Bijan Robinson ATL,RB,Team 3,ATL
